Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-25,-25.0,52,52,0,0.9900498337491681
2,45,10.0,178,126,0,0.9801986733067553
3,-105,-28.333333333333332,236,58,0,0.9704455335485082
4,40,-11.25,313,77,0,0.9607894391523232
5,-315,-72.0,519,206,0,0.951229424500714
6,-270,-105.0,712,193,0,0.9417645335842487
7,-60,-98.57142857142857,855,143,0,0.9323938199059483
8,-205,-111.875,1078,223,0,0.9231163463866358
9,-70,-107.22222222222223,1117,39,0,0.9139311852712282
10,-35,-100.0,1194,77,0,0.9048374180359595
11,130,-79.0909090909091,1319,125,0,0.8958341352965282
12,-235,-92.08333333333333,1511,192,0,0.8869204367171575
13,-100,-92.6923076923077,1551,40,0,0.8780954309205613
14,-50,-89.64285714285714,1600,49,0,0.8693582353988059
15,-120,-91.66666666666667,1655,55,0,0.8607079764250578
16,-225,-100.0,1840,185,0,0.8521437889662113
17,205,-82.05882352941177,2061,221,0,0.8436648165963837
18,-200,-88.61111111111111,2212,151,0,0.835270211411272
19,65,-80.52631578947368,2289,77,0,0.8269591339433623
20,-150,-84.0,2382,93,0,0.8187307530779818
21,-345,-96.42857142857143,2575,193,0,0.8105842459701871
22,-355,-108.18181818181819,2728,153,0,0.8025187979624785
23,-115,-108.47826086956522,2782,54,0,0.794533602503334
24,-65,-106.66666666666667,2927,145,0,0.7866278610665535
25,-75,-105.4,3006,79,0,0.7788007830714049
26,-15,-101.92307692307692,3071,65,0,0.7710515858035663
27,-225,-106.48148148148148,3219,148,0,0.7633794943368531
28,-70,-105.17857142857143,3263,44,0,0.7557837414557255
29,-255,-110.34482758620689,3438,175,0,0.7482635675785653
30,200,-100.0,3644,206,0,0.7408182206817179
31,-280,-105.80645161290323,3880,236,0,0.7334469562242892
32,40,-101.25,3948,68,0,0.7261490370736909
33,-145,-102.57575757575758,4082,134,0,0.7189237334319262
34,-195,-105.29411764705883,4157,75,0,0.7117703227626097
35,-95,-105.0,4214,57,0,0.7046880897187134
36,-360,-112.08333333333333,4416,202,0,0.697676326071031
37,-385,-119.45945945945945,4576,160,0,0.6907343306373547
38,-370,-126.05263157894737,4759,183,0,0.6838614092123558
39,-505,-135.76923076923077,4975,216,0,0.6770568744981647
40,-395,-142.25,5168,193,0,0.6703200460356393
41,-420,-149.02439024390245,5319,151,0,0.6636502501363194
42,-80,-147.38095238095238,5357,38,0,0.6570468198150567
43,-235,-149.41860465116278,5552,195,0,0.6505090947233165
44,-35,-146.8181818181818,5610,58,0,0.6440364210831414
45,-160,-147.11111111111111,5665,55,0,0.6376281516217733
46,-20,-144.34782608695653,5710,45,0,0.631283645506926
47,85,-139.46808510638297,5928,218,0,0.6250022682827008
48,-335,-143.54166666666666,6120,192,0,0.6187833918061408
49,-40,-141.42857142857142,6237,117,0,0.6126263941844161
50,-200,-142.6,6360,123,0,0.6065306597126334
51,-250,-144.7058823529412,6500,140,0,0.6004955788122659
52,25,-141.44230769230768,6549,49,0,0.5945205479701944
53,-40,-139.52830188679246,6593,44,0,0.5886049696783552
54,-165,-140.0,6640,47,0,0.5827482523739896
55,-5,-137.54545454545453,6758,118,0,0.5769498103804866
56,-95,-136.78571428571428,6798,40,0,0.5712090638488149
57,-110,-136.31578947368422,6880,82,0,0.5655254386995371
58,-140,-136.3793103448276,7058,178,0,0.559898366565402
59,-95,-135.67796610169492,7093,35,0,0.5543272847345071
60,-60,-134.41666666666666,7287,194,0,0.5488116360940264
61,-195,-135.40983606557376,7374,87,0,0.5433508690744998
62,-30,-133.70967741935485,7524,150,0,0.5379444375946745
63,-305,-136.42857142857142,7691,167,0,0.5325918010068972
64,-100,-135.859375,7921,230,0,0.5272924240430485
65,-190,-136.69230769230768,7993,72,0,0.522045776761016
66,0,-134.62121212121212,8038,45,0,0.5168513344916992
67,-90,-133.955223880597,8079,41,0,0.5117085777865424
68,-210,-135.0735294117647,8266,187,0,0.5066169923655895
69,-85,-134.34782608695653,8314,48,0,0.5015760690660555
70,60,-131.57142857142858,8387,73,0,0.49658530379140947
71,-20,-130.0,8426,39,0,0.4916441974609651
72,15,-127.98611111111111,8633,207,0,0.4867522559599717
73,-235,-129.45205479452054,8822,189,0,0.48190899009020244
74,-50,-128.3783783783784,8869,47,0,0.4771139155210344
75,-75,-127.66666666666667,8943,74,0,0.4723665527410147
76,-240,-129.14473684210526,9124,181,0,0.46766642700990924
77,-130,-129.15584415584416,9173,49,0,0.46301306831122807
78,-60,-128.26923076923077,9215,42,0,0.4584060113052235
79,-245,-129.74683544303798,9330,115,0,0.45384479528235583
80,-220,-130.875,9434,104,0,0.44932896411722156
81,-335,-133.39506172839506,9570,136,0,0.4448580662229411
82,150,-129.9390243902439,9781,211,0,0.44043165450599925
83,-275,-131.6867469879518,9978,197,0,0.43604928632153556
84,2455,-100.89285714285714,10325,167,180,0.43171052342907973
85,1960,-76.6470588235294,10633,120,188,0.4274149319487267
86,1695,-56.04651162790697,10945,129,183,0.4231620823177488
87,1400,-39.310344827586206,11186,118,123,0.418951549247639
88,1435,-22.556818181818183,11488,115,187,0.4147829116815814
89,2060,0.8426966292134831,11831,151,192,0.4106557527523455
90,1715,19.88888888888889,12149,144,174,0.4065696597405991
91,1545,36.64835164835165,12421,93,179,0.40252422403363597
92,1440,51.90217391304348,12686,93,172,0.39851904108451414
93,1855,71.29032258064517,12986,120,180,0.3945537103716011
94,1730,88.93617021276596,13274,103,185,0.3906278353585211
95,1195,100.57894736842105,13476,78,124,0.3867410234545012
96,1735,117.60416666666667,13778,120,182,0.38289288597511206
97,1730,134.22680412371133,14063,99,186,0.37908303810339883
98,1750,150.71428571428572,14332,95,174,0.37531109885139957
99,1935,168.73737373737373,14600,92,176,0.3715766910220457
100,1865,185.7,14863,89,174,0.36787944117144233
101,1145,195.1980198019802,15046,72,111,0.3642189795715233
102,2200,214.85294117647058,15357,107,204,0.3605949401730783
103,765,220.19417475728156,15513,64,92,0.3570069605691474
104,1515,232.64423076923077,15770,84,173,0.35345468195878016
105,1865,248.1904761904762,16045,83,192,0.3499377491111553
106,2050,265.188679245283,16314,67,202,0.3464558103300574
107,2300,284.2056074766355,16630,119,197,0.34300851741870664
108,1190,292.5925925925926,16919,111,178,0.3395955256449391
109,1340,302.20183486238534,17177,82,176,0.33621649370673334
110,1875,316.5,17460,98,185,0.33287108369807955
111,1595,328.01801801801804,17752,102,190,0.32955896107518906
112,1870,341.7857142857143,18009,67,190,0.32627979462303947
113,1730,354.070796460177,18295,92,194,0.3230332564222529
114,1775,366.53508771929825,18568,81,192,0.31981902181630384
115,1800,379.0,18854,98,188,0.31663676937905316
116,1500,388.66379310344826,19099,70,175,0.3134861808826053
