Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
1,-250,-250.0,231,231,0,0.9910448503742513
2,-100,-175.0,315,84,0,0.9821788059760798
3,-120,-156.66666666666666,386,71,0,0.9734009801936573
4,-60,-132.5,436,50,0,0.9647104952370908
5,115,-83.0,652,216,0,0.9561064820506426
6,-105,-86.66666666666667,697,45,0,0.9475880802258239
7,-70,-84.28571428571429,742,45,0,0.9391544379153535
8,-530,-140.0,975,233,0,0.9308047117479722
9,0,-124.44444444444444,1026,51,0,0.9225380667441053
10,-125,-124.5,1094,68,0,0.9143536762323635
11,-195,-130.9090909090909,1196,102,0,0.9062507217668754
12,-40,-123.33333333333333,1279,83,0,0.8982283930454418
13,-40,-116.92307692307692,1333,54,0,0.8902858878285052
14,-255,-126.78571428571429,1425,92,0,0.8824224118589252
15,-25,-120.0,1473,48,0,0.874637178782552
16,-415,-138.4375,1670,197,0,0.8669294100695902
17,-215,-142.94117647058823,1808,138,0,0.8592983349367453
18,-80,-139.44444444444446,1923,115,0,0.8517431902701448
19,-55,-135.0,1981,58,0,0.844263220549026
20,-135,-135.0,2073,92,0,0.8368576777701836
21,-30,-130.0,2185,112,0,0.8295258213731683
22,-70,-127.27272727272727,2248,63,0,0.8222669181662307
23,-315,-135.43478260869566,2477,229,0,0.8150802422530007
24,-75,-132.91666666666666,2563,86,0,0.8079650749598981
25,-35,-129.0,2697,134,0,0.8009207047642644
26,170,-117.5,2862,165,0,0.7939464272232096
27,-20,-113.88888888888889,2908,46,0,0.7870415449031678
28,-5,-110.0,2967,59,0,0.7802053673101529
29,-105,-109.82758620689656,3074,107,0,0.7734372108207087
30,-405,-119.66666666666667,3288,214,0,0.766736398613546
31,-120,-119.6774193548387,3360,72,0,0.7601022606018603
32,-45,-117.34375,3443,83,0,0.7535341333663218
33,-220,-120.45454545454545,3554,111,0,0.7470313600887335
34,-95,-119.70588235294117,3588,34,0,0.7405932904863487
35,-130,-120.0,3653,65,0,0.7342192807468421
36,-70,-118.61111111111111,3701,48,0,0.727908693463928
37,-25,-116.08108108108108,3751,50,0,0.7216608975736192
38,40,-111.97368421052632,3799,48,0,0.7154752682911203
39,-80,-111.15384615384616,3841,42,0,0.7093511870483482
40,-25,-109.0,3882,41,0,0.7032880414320754
41,-305,-113.78048780487805,4067,185,0,0.6972852251226874
42,-85,-113.0952380952381,4104,37,0,0.691342137833551
43,-20,-110.93023255813954,4144,40,0,0.6854581852509849
44,-185,-112.61363636363636,4238,94,0,0.6796327789748272
45,45,-109.11111111111111,4313,75,0,0.673865336459596
46,-115,-109.23913043478261,4420,107,0,0.6681552809562333
47,-275,-112.76595744680851,4603,183,0,0.6625020414544307
48,-65,-111.77083333333333,4649,46,0,0.6569050526255268
49,-85,-111.22448979591837,4742,93,0,0.6513637547659745
50,15,-108.7,4798,56,0,0.6458775937413701
51,-85,-108.23529411764706,4929,131,0,0.6404460209310393
52,5,-106.0576923076923,5036,107,0,0.6350684931731749
53,-320,-110.09433962264151,5245,209,0,0.6297444727105197
54,-70,-109.35185185185185,5297,52,0,0.6244734271365907
55,-120,-109.54545454545455,5388,91,0,0.619254829342438
56,-75,-108.92857142857143,5421,33,0,0.6140881574639334
57,-65,-108.15789473684211,5470,49,0,0.6089728948295834
58,-115,-108.27586206896552,5523,53,0,0.6039085299088618
59,-395,-113.13559322033899,5730,207,0,0.5988945562610564
60,-200,-114.58333333333333,5859,129,0,0.5939304724846237
61,-110,-114.50819672131148,5922,63,0,0.5890157821670499
62,-195,-115.80645161290323,5999,77,0,0.584149993835207
63,-35,-114.52380952380952,6088,89,0,0.5793326209062075
64,-45,-113.4375,6201,113,0,0.5745631816387438
65,-45,-112.38461538461539,6265,64,0,0.5698411990849145
66,5,-110.60606060606061,6359,94,0,0.5651662010425292
67,-365,-114.40298507462687,6579,220,0,0.5605377200078883
68,-35,-113.23529411764706,6783,204,0,0.5559552931290306
69,-25,-111.95652173913044,6897,114,0,0.5514184621594499
70,-120,-112.07142857142857,6954,57,0,0.5469267734122686
71,-60,-111.33802816901408,6996,42,0,0.5424797777148687
72,-345,-114.58333333333333,7200,204,0,0.5380770303639745
73,90,-111.78082191780823,7296,96,0,0.5337180910811822
74,-385,-115.47297297297297,7501,205,0,0.529402523968931
75,-220,-116.86666666666666,7692,191,0,0.5251298974669132
76,-370,-120.19736842105263,7910,218,0,0.5208997843089184
77,-170,-120.84415584415585,7966,56,0,0.5167117614801052
78,-95,-120.51282051282051,8017,51,0,0.5125654101747011
79,-155,-120.9493670886076,8225,208,0,0.5084603157541202
80,-110,-120.8125,8281,56,0,0.5043960677054994
81,-345,-123.58024691358025,8446,165,0,0.500372259600647
82,-55,-122.7439024390244,8519,73,0,0.49638848905539934
83,-95,-122.40963855421687,8574,55,0,0.492444357689382
84,-400,-125.71428571428571,8775,201,0,0.4885394710861718
85,-10,-124.3529411764706,8829,54,0,0.48467343875385405
86,-480,-128.48837209302326,9035,206,0,0.4808458740859739
87,-40,-127.47126436781609,9088,53,0,0.47705639432287517
88,-150,-127.72727272727273,9159,71,0,0.47330462051342326
89,-15,-126.46067415730337,9220,61,0,0.46959017747711096
90,-60,-125.72222222222223,9267,47,0,0.4659126937665392
91,-75,-125.16483516483517,9321,54,0,0.46227180163027237
92,-70,-124.56521739130434,9389,68,0,0.45866713697606276
93,15,-123.06451612903226,9483,94,0,0.455098339334441
94,200,-119.62765957446808,9677,194,0,0.45156505182266904
95,-170,-120.15789473684211,9750,73,0,0.4480669211090511
96,-40,-119.32291666666667,9799,49,0,0.4446035973776009
97,-115,-119.27835051546391,9850,51,0,0.441174734293059
98,-135,-119.43877551020408,9928,78,0,0.4377799889662596
99,60,-117.62626262626263,9982,54,0,0.43441902191984116
100,-40,-116.85,10029,29,18,0.43109149705429817
101,-80,-116.48514851485149,10064,10,25,0.427797081614371
102,-60,-115.93137254901961,10106,11,31,0.42453544615577044
103,-115,-115.92233009708738,10139,14,19,0.42130626451223263
104,-60,-115.38461538461539,10187,20,28,0.4181092137629021
105,-145,-115.66666666666667,10234,22,25,0.4149439742000398
106,-105,-115.56603773584905,10270,9,27,0.4118102292970517
107,-110,-115.51401869158879,10307,17,20,0.40870766567683603
108,-125,-115.60185185185185,10349,16,26,0.4056359730804452
109,-110,-115.55045871559633,10386,12,25,0.4025948443360601
110,-155,-115.9090909090909,10430,22,22,0.3995839753282716
111,-110,-115.85585585585585,10465,9,26,0.39660306496767017
112,-105,-115.75892857142857,10505,15,25,0.39365181516073555
113,-125,-115.84070796460178,10547,14,28,0.3907299307800276
114,-145,-116.09649122807018,10590,19,24,0.3878371196346735
115,-80,-115.78260869565217,10631,18,23,0.38497309244114786
116,-110,-115.73275862068965,10668,12,25,0.38213756279434485
117,-115,-115.72649572649573,10709,18,23,0.3793302471389366
118,-115,-115.72033898305085,10749,19,21,0.3765508647410182
119,-110,-115.67226890756302,10786,15,22,0.3737991376600337
120,-110,-115.625,10825,17,22,0.37107479072098193
121,-120,-115.66115702479338,10866,20,21,0.36837755148689866
122,-65,-115.24590163934427,10902,14,22,0.3657071502316128
123,-70,-114.8780487804878,10949,18,29,0.3630633199127735
124,-120,-114.91935483870968,10987,12,26,0.3604457961451456
125,-100,-114.8,11030,19,24,0.35785431717417104
126,-95,-114.64285714285714,11065,11,24,0.3552886238497933
127,-40,-114.05511811023622,11110,19,26,0.3527484596005418
128,-80,-113.7890625,11150,20,20,0.35023357040787473
129,-105,-113.72093023255815,11189,19,20,0.3477437047807771
130,-120,-113.76923076923077,11227,14,24,0.3452786137306113
131,-120,-113.81679389312977,11266,15,24,0.34283805074621815
132,-150,-114.0909090909091,11313,13,34,0.3404217717692653
133,-110,-114.06015037593986,11355,16,26,0.3380295351698416
134,-95,-113.91791044776119,11399,18,26,0.3356611017222934
135,-85,-113.70370370370371,11431,9,23,0.33331623458130233
136,-100,-113.6029411764706,11471,14,26,0.3309946992582003
137,-115,-113.61313868613139,11509,13,25,0.32869626359752024
138,-105,-113.55072463768116,11545,7,29,0.3264206977537808
139,-105,-113.48920863309353,11580,10,25,0.32416777416850134
140,-120,-113.53571428571429,11620,14,26,0.3219372675474458
141,-85,-113.33333333333333,11660,13,27,0.3197289548380934
142,-125,-113.41549295774648,11705,16,29,0.31754261520733285
143,-120,-113.46153846153847,11739,9,25,0.31537803001937914
144,-115,-113.47222222222223,11772,8,25,0.3132349828139096
145,-125,-113.55172413793103,11816,13,31,0.3111132592844179
146,-80,-113.32191780821918,11853,13,24,0.30901264725678296
147,-80,-113.0952380952381,11885,6,26,0.30693293666805144
148,-110,-113.07432432432432,11917,13,19,0.30487391954543147
149,-140,-113.25503355704699,11956,13,26,0.30283538998549486
150,-120,-113.3,11990,9,25,0.30081714413358684
151,-125,-113.37748344370861,12036,17,29,0.2988189801634404
152,-105,-113.32236842105263,12077,14,27,0.2968406982569933
153,-80,-113.10457516339869,12111,9,25,0.29488210058440634
154,-115,-113.11688311688312,12150,11,28,0.29294299128428014
155,-105,-113.06451612903226,12189,14,25,0.2910231764440687
156,-120,-113.10897435897436,12232,14,29,0.28912246408068826
157,-105,-113.05732484076434,12268,10,26,0.28724066412131843
158,-110,-113.0379746835443,12300,9,23,0.2853775883843951
159,-95,-112.9245283018868,12336,13,23,0.2835330505607921
160,-75,-112.6875,12370,9,25,0.28170686619518986
161,-110,-112.67080745341615,12402,8,24,0.27989885266763004
162,-70,-112.4074074074074,12444,11,31,0.2781088291752532
163,-105,-112.36196319018404,12483,11,28,0.2763366167142184
164,-130,-112.46951219512195,12526,9,34,0.2745820380618027
165,-130,-112.57575757575758,12562,9,27,0.2728449177586787
166,-75,-112.34939759036145,12595,3,30,0.27112508209136843
167,-95,-112.24550898203593,12632,6,31,0.2694223590748721
168,-115,-112.26190476190476,12672,14,26,0.267736578435469
169,-100,-112.18934911242603,12707,13,22,0.2660675715936903
170,-115,-112.20588235294117,12740,11,22,0.2644151716474612
171,-55,-111.87134502923976,12778,11,27,0.2627792133554099
172,-105,-111.8313953488372,12814,11,25,0.2611595331203439
173,-75,-111.61849710982659,12852,11,27,0.25955596897289
174,-50,-111.26436781609195,12887,9,26,0.25796836055529715
175,-110,-111.25714285714285,12928,8,33,0.25639654910540066
176,-110,-111.25,12963,8,27,0.2548403774407455
177,-105,-111.21468926553672,12994,4,27,0.2532996899428685
178,-115,-111.23595505617978,13027,6,27,0.251774332541736
179,-120,-111.28491620111731,13064,9,28,0.25026415270033664
180,-95,-111.19444444444444,13100,11,25,0.2487689993994279
181,-85,-111.04972375690608,13139,12,27,0.24728872312243366
182,-115,-111.07142857142857,13172,8,25,0.24582317584049268
183,-125,-111.14754098360656,13211,11,28,0.24437221099765546
184,-125,-111.22282608695652,13252,11,30,0.24293568349622863
185,-130,-111.32432432432432,13288,10,26,0.24151344968226485
186,-115,-111.34408602150538,13321,11,22,0.24010536733119758
187,-105,-111.31016042780749,13352,6,25,0.23871129563361826
188,-150,-111.51595744680851,13396,15,29,0.2373310951811955
189,-80,-111.34920634920636,13432,10,26,0.23596462795273376
190,-60,-111.07894736842105,13467,5,30,0.23461175730037154
191,-115,-111.09947643979058,13500,3,30,0.2332723479359162
192,-100,-111.04166666666667,13539,7,32,0.23194626591731515
193,-100,-110.98445595854922,13574,5,30,0.23063337863526137
194,-100,-110.9278350515464,13604,4,26,0.22933355479993264
195,-100,-110.87179487179488,13638,4,30,0.22804666442786223
196,-110,-110.86734693877551,13673,9,26,0.2267725788289405
197,-100,-110.81218274111676,13710,10,27,0.22551117059354586
198,-90,-110.70707070707071,13743,8,25,0.22426231357980353
199,-100,-110.65326633165829,13778,5,30,0.22302588290097147
200,-150,-110.85,13824,17,29,0.22180175491295145
201,-95,-110.77114427860697,13856,7,25,0.22058980720192445
202,-80,-110.61881188118812,13894,9,29,0.21938991857210954
203,-105,-110.5911330049261,13925,3,28,0.21820196903364375
204,-100,-110.53921568627452,13963,11,27,0.21702583979058332
205,-100,-110.48780487804878,13993,3,27,0.2158614132290238
206,-75,-110.31553398058253,14051,23,35,0.21470857290533868
207,-100,-110.26570048309179,14093,15,27,0.2135672035345349
208,-85,-110.14423076923077,14130,4,33,0.21243719097872418
209,-110,-110.14354066985646,14162,5,27,0.21131842223570935
210,-60,-109.9047619047619,14198,10,26,0.21021078542768373
211,-120,-109.95260663507109,14237,9,30,0.20911416979004352
212,-70,-109.76415094339623,14271,10,24,0.20802846566031108
213,-120,-109.81220657276995,14308,6,31,0.2069535644671687
214,-105,-109.78971962616822,14339,3,28,0.2058893587196013
215,-115,-109.81395348837209,14372,5,28,0.2048357419961473
216,-90,-109.72222222222223,14405,6,27,0.20379260893425627
217,-80,-109.5852534562212,14444,13,26,0.20275985521975287
218,-120,-109.63302752293578,14485,12,29,0.20173737757640486
219,-120,-109.68036529680366,14519,6,28,0.200725073755596
220,-75,-109.52272727272727,14552,7,26,0.1997228425261005
221,-100,-109.47963800904978,14586,4,30,0.1987305836639603
222,-100,-109.43693693693693,14620,4,30,0.19774819794246218
223,-95,-109.37219730941705,14654,3,31,0.19677558712221546
224,-85,-109.26339285714286,14686,4,28,0.19581265394132752
225,-95,-109.2,14724,13,25,0.19485930210567792
226,-105,-109.18141592920354,14755,7,24,0.1939154362792885
227,-115,-109.20704845814979,14788,6,27,0.19298096207479018
228,-110,-109.21052631578948,14821,5,28,0.1920557860439837
229,-125,-109.27947598253274,14856,10,25,0.19113981566849508
230,-95,-109.21739130434783,14888,5,27,0.19023295935052334
231,-115,-109.24242424242425,14924,7,29,0.1893351264036811
232,-100,-109.20258620689656,14961,8,29,0.18844622704392539
